Unit,Location,2019,2019_status,2018,2018_status,2017,2017_status,2016,2016_status,2015,2015_status,2014,2014_status,2013,2013_status,2012,2012_status,2011,2011_status,2010,2010_status,2009,2009_status,2008,2008_status,2007,2007_status,2006,2006_status,2005,2005_status,2004,2004_status,2003,2003_status,2002,2002_status,2001,2001_status,2000,2000_status,1999,1999_status,1998,1998_status,1997,1997_status,1996,1996_status,1995,1995_status,1994,1994_status,1993,1993_status,1992,1992_status,1991,1991_status,1990,1990_status
I10,HR,87.5,ok,90.2,ok,95.5,ok,98.0,ok,101.1,ok,103.2,ok,102.8,d,101.9,d,97.4,d,100.0,de,103,e,97.9,e,95.3,e,95.2,e,95.9,e,98,e,99.6,e,102.8,e,104.5,e,102.8,e,101.1,e,96.1,e,96.4,e,93.6,e,86.7,e,,ok,,ok,,ok,,ok,,ok
I10,HU,93.7,e,94.9,e,95.7,e,95.4,e,94.1,e,95.3,ok,97.7,ok,99.4,ok,97.8,ok,100.0,ok,103.7,ok,98.3,ok,99.2,ok,99.4,ok,99.8,b,105.1,ok,108.4,ok,111.6,ok,115.5,ok,119.9,ok,123.4,ok,125.0,ok,128.4,ok,129.3,ok,130.8,ok,,ok,,ok,,ok,,ok,,ok
I10,IE,69.7,e,71.7,e,76.2,e,80.2,e,77.2,e,88.9,e,97.3,e,96.0,e,98.1,e,100.0,e,104,e,98.6,e,92.4,e,93.3,e,94.8,e,96.5,e,97.2,e,95.2,e,98.1,e,97.7,be,110,e,117.9,e,123.3,e,130.7,e,135.4,e,,ok,,ok,,ok,,ok,,ok
I10,IS,109.2,e,90.6,e,106.5,e,107.4,ok,98.5,ok,96.3,ok,93.2,ok,94.7,ok,94.6,ok,100.0,ok,98.0,ok,89.5,ok,93.9,ok,97.0,ok,97.2,ok,97.4,ok,101.8,ok,101.2,ok,99.0,ok,98.2,ok,101.3,ok,101.4,ok,102.7,ok,102.4,ok,102.3,ok,,ok,,ok,,ok,,ok,,ok
I10,IT,103.6,ok,102.6,ok,105.9,ok,102.6,ok,100.6,ok,97.1,ok,95.0,ok,87.8,ok,95.3,e,100.0,e,103.5,ok,93.3,ok,92.6,ok,94.0,ok,95.5,ok,104.4,ok,104.6,ok,103.6,ok,102.8,ok,103.4,b,100.1,ok,101.1,ok,100.1,ok,100.4,ok,99.6,ok,,ok,,ok,,ok,,ok,,ok
I10,LT,69.9,e,70.1,ok,75.3,ok,65.6,ok,65.2,ok,65.9,ok,90.0,ok,95.2,ok,87.4,d,100.0,ok,111.8,ok,101.6,ok,107.5,ok,120.1,ok,115.7,e,95.3,e,78.2,e,74.1,ok,78.4,e,81.3,e,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,LU,96.2,e,95.9,e,96.9,e,96.5,e,98.4,e,99.2,e,100.3,e,101.9,e,99.3,e,100.0,e,107.1,e,102.5,e,98.9,e,105,e,106.8,e,106.5,e,108.5,e,108.4,e,111.2,e,109.8,e,106.8,e,115.5,e,120.1,e,124.3,e,123.6,e,,ok,,ok,,ok,,ok,,ok
I10,LV,88.7,ok,89.2,ok,91.1,ok,88.6,ok,89.2,ok,88.4,ok,84.9,ok,85.8,ok,88.9,ok,100.0,ok,96.1,ok,94.2,ok,101,e,101.3,e,102.1,ok,107.1,e,117,e,123.9,e,126.1,e,137.5,e,144.5,e,134.8,e,131.1,e,129,e,132.1,e,,ok,,ok,,ok,,ok,,ok
I10,ME,,ok,96.0,e,95.3,ok,98.0,e,91.9,e,93.6,e,96.3,e,97.2,e,92.9,e,100.0,e,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,MK,124.8,ok,129.1,ok,126.5,ok,128.2,d,133.2,d,136.6,ok,121.9,d,103.5,e,110.6,e,100.0,e,92.4,e,91.9,e,88.4,e,105.4,e,110,e,113.7,e,114.5,e,109.4,e,106.2,e,106.2,e,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,MT,74.6,e,77.7,e,80.1,e,86.1,e,86.6,e,90.6,e,92.6,e,96.2,e,99.8,e,100.0,e,105,e,102.8,e,104.5,e,107.2,e,107.3,e,109.2,e,106.6,e,108.2,e,108.1,e,106.4,e,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,NL,90.5,e,91.1,be,89.3,e,93.0,e,94.0,e,100.4,e,101.5,e,99.9,e,99.0,e,100.0,be,102.3,e,97.5,be,102.7,ok,105.9,ok,110.0,ok,113.8,ok,112.3,ok,112.3,ok,111.0,ok,113.1,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,NO,98.7,ok,98.7,ok,98.9,ok,99.6,ok,99.7,ok,99.4,d,98.2,ok,97.9,d,100.7,ok,100.0,d,99.5,ok,96.9,ok,95.4,ok,95.4,ok,96.2,ok,98.9,ok,96.4,ok,101.9,ok,101.7,ok,101.7,ok,104.0,ok,103.7,ok,103.2,ok,105.7,ok,106.5,ok,,ok,,ok,,ok,,ok,124.5,ok
I10,PL,88.5,e,82.0,e,84.5,e,87.8,d,89.1,ok,91.6,ok,93.1,ok,93.6,ok,98.4,ok,100.0,ok,102.4,ok,103.3,ok,102.9,ok,137.4,e,134.7,e,132.4,e,134.9,e,137.6,e,137.7,e,137.9,be,122.4,ok,126.8,ok,125.4,ok,126.6,ok,131.2,ok,,ok,,ok,,ok,,ok,,ok
I10,PT,110.8,e,110.4,e,109.5,e,111.4,e,105.5,be,105.0,e,104.3,e,103.7,e,101.1,e,100.0,e,104.3,e,102.3,e,102,e,103.6,e,104.4,be,107.9,e,107.8,e,102.1,e,99.3,e,99.5,e,99.7,e,98.9,e,97.2,e,96.9,e,96,e,,ok,,ok,,ok,,ok,,ok
I10,RO,102.9,de,100.8,de,100.0,de,104.7,de,103.6,de,100.3,e,97.5,e,97.9,e,96.9,e,100.0,e,93.8,e,85.7,e,89.4,e,92.3,e,96,e,94.6,e,101.6,e,100.1,e,107.7,e,111.5,e,112.4,e,113.4,e,114.7,e,109.6,e,110.1,e,,ok,,ok,,ok,,ok,,ok
I10,RS,97.3,e,99.5,e,101.8,e,100.8,e,103.0,e,101.5,be,86.7,e,87.5,e,85.7,e,100.0,e,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,SE,89.4,b,91.3,ok,93.0,ok,93.9,ok,93.9,ok,96.5,ok,97.2,ok,98.3,ok,98.0,ok,100.0,ok,105.7,ok,100.8,ok,100.9,ok,101.8,ok,106.3,ok,108.9,ok,113.4,ok,115.2,ok,114.8,ok,115.2,ok,119.2,b,111.8,ok,115.7,ok,119.0,ok,120.2,ok,123.2,ok,126.5,ok,,ok,,ok,,ok
I10,SI,91.8,e,93.5,e,96.2,e,98.6,e,100.1,e,100.7,e,101.6,e,100.6,e,98.7,e,100.0,ok,102,b,91.3,ok,93.0,ok,94.3,ok,97.6,ok,100.0,ok,102.8,ok,105.1,ok,106.8,ok,108.5,ok,113.9,ok,113.5,ok,119.8,ok,119.0,ok,113.8,ok,,ok,,ok,,ok,,ok,,ok
I10,SK,88.7,e,90.3,ok,91.9,ok,93.2,e,92.8,e,94.3,e,96.0,e,96.4,e,98.2,e,100.0,e,104.6,e,105,e,110.7,ok,126.6,e,137.3,ok,146.9,ok,151.7,ok,163.2,ok,169.7,ok,175.0,ok,180.2,ok,174.0,ok,186.1,ok,206.4,ok,226.2,ok,,ok,,ok,,ok,,ok,,ok
I10,TR,89.7,e,86.4,e,85.4,e,90.3,d,90.4,d,91.0,d,92.6,d,97.3,ok,96.0,ok,100.0,ok,101.6,ok,94.6,be,92.9,e,94.2,e,96.1,e,101.5,e,102.8,e,106.4,e,110.7,e,110,e,116,e,111.4,e,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok
I10,UK,96.2,,95.7,e,95.5,e,91.9,de,92.4,de,94.3,de,95.1,de,98,de,98.7,e,100,e,103.8,e,100.1,e,100.1,e,101.9,e,103.8,e,107.3,be,109.4,e,112.8,e,112.9,e,113.8,e,118.3,e,120.6,e,124,e,127.7,be,129.7,e,131.7,be,135.8,be,134.3,e,135,e,135.2,e
