freq,tra_infr,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,MWAY,KM,DE92	226 	226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DE93	299 	372 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DE94	547 	547 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEA1	638 	649 	649 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEA2	557 	558 	558 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEA3	356 	356 	356 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEA4	189 	190 	190 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEA5	447 	448 	448 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEB1	257 	257 	258 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEB2	184 	184 	187 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEB3	431 	431 	431 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEC0	240 	240 	240 	240 	240 	240 	240 	240 	240 	240 	240 	240 
A,MWAY,KM,DED2	216 	216 	216 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DED4	203 	203 	203 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DED5	111 	111 	111 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MWAY,KM,DEE0	407 	407 	407 	407 	411 	411 	416 	416 	416 	416 	499 	499 
A,MWAY,KM,DEF0	510 	533 	533 	533 	536 	536 	538 	538 	544 	545 	545 	545 
A,MWAY,KM,DEG0	482 	498 	498 	498 	498 	511 	510 	521 	521 	521 	521 	521 
A,MWAY,KM,DK01	157 	157 d	157 	159 	160 	160 	159 	164 	164 	167 	167 	167 
