Country,Year,Co2Emission
DE,2013,136.1
DK,2013,112.7
EE,2013,147.0
EL,2013,111.9
ES,2013,122.4
EU27_2007,2013,126.7
EU27_2020,2013,126.4
FI,2013,131.8
FR,2013,117.4
HR,2013,127.1
HU,2013,134.4
IE,2013,120.7
IT,2013,121.1
LT,2013,139.8
LU,2013,133.4
LV,2013,147.1
MT,2013,118.7
NL,2013,109.1
PL,2013,138.1
PT,2013,112.2
RO,2013,132.1
SE,2013,133.2
SI,2013,125.6
SK,2013,135.1
UK,2013,128.3
AT,2014,128.5
BE,2014,121.3
BG,2014,135.9
CY,2014,129.8
CZ,2014,131.6
DE,2014,132.5
DK,2014,110.2
EE,2014,140.9
EL,2014,108.2
ES,2014,118.6
EU27_2020,2014,123.1
EU28,2014,123.4
FI,2014,127.4
FR,2014,114.2
HR,2014,115.8
HU,2014,133.0
IE,2014,117.1
IT,2014,118.1
LT,2014,135.8
LU,2014,129.9
LV,2014,140.4
MT,2014,115.3
NL,2014,107.3
PL,2014,132.9
PT,2014,108.8
RO,2014,128.2
SE,2014,131.0
SI,2014,121.3
SK,2014,131.7
UK,2014,124.6
AT,2015,123.7
BE,2015,117.9
BG,2015,130.3
CY,2015,125.7
CZ,2015,126.3
DE,2015,128.3
DK,2015,106.2
EE,2015,137.2
EL,2015,106.4
ES,2015,115.3
EU27_2020,2015,119.1
EU28,2015,119.5
FI,2015,123.0
FR,2015,111.0
HR,2015,112.8
HU,2015,129.6
IE,2015,114.1
IT,2015,115.2
LT,2015,130.0
LU,2015,127.5
LV,2015,137.1
MT,2015,113.3
NL,2015,101.2
PL,2015,129.3
PT,2015,105.7
RO,2015,125.0
SE,2015,126.3
SI,2015,119.2
SK,2015,127.6
UK,2015,121.3
AT,2016,120.4
BE,2016,115.9
BG,2016,125.8
CY,2016,123.5
CZ,2016,121.2
DE,2016,126.9
DK,2016,106.0
EE,2016,133.9
EL,2016,106.3
ES,2016,114.4
EU27_2020,2016,117.6
EU28,2016,118.1
FI,2016,120.0
FR,2016,109.8
HR,2016,111.5
HU,2016,125.9
IE,2016,112.0
IT,2016,113.3
LT,2016,126.2
LU,2016,126.1
LV,2016,128.9
MT,2016,111.8
NL,2016,105.9
PL,2016,125.8
PT,2016,104.7
RO,2016,122.0
SE,2016,123.1
SI,2016,119.0
SK,2016,124.8
UK,2016,120.1
AT,2017,120.7
BE,2017,115.9
BG,2017,126.2
CY,2017,122.2
CZ,2017,124.1
DE,2017,127.2
DK,2017,107.1
EE,2017,132.8
EL,2017,108.8
ES,2017,115.0
EU27_2020,2017,118.0
EU28,2017,118.5
FI,2017,118.2
FR,2017,110.4
HR,2017,113.1
HU,2017,125.6
IE,2017,111.6
IT,2017,113.3
LT,2017,127.4
LU,2017,127.0
LV,2017,128.8
MT,2017,111.0
NL,2017,108.3
PL,2017,127.6
PT,2017,104.7
RO,2017,120.6
SE,2017,122.3
SI,2017,119.6
SK,2017,126.1
UK,2017,121.1
AT,2018,123.0
BE,2018,119.4
BG,2018,126.7
CY,2018,123.4
CZ,2018,126.0
DE,2018,129.5
DK,2018,109.6
EE,2018,132.4
EL,2018,111.4
ES,2018,118.1
EU27_2020,2018,120.1
FI,2018,116.7
FR,2018,112.2
HR,2018,115.3
HU,2018,127.9
IE,2018,113.3
IS,2018,116.8
IT,2018,115.9
LT,2018,128.6
LU,2018,131.4
LV,2018,128.8
MT,2018,107.7
NL,2018,105.5
PL,2018,129.8
PT,2018,106.1
RO,2018,121.5
SE,2018,122.2
SI,2018,120.9
SK,2018,127.6
UK,2018,124.6
AT,2019,125.5
BE,2019,121.5
BG,2019,137.6
CY,2019,126.8
CZ,2019,128.7
DE,2019,131.2
DK,2019,111.9
EE,2019,130.1
EL,2019,115.6
ES,2019,121.3
EU27_2020,2019,122.2
FI,2019,115.3
FR,2019,113.7
HR,2019,119.4
HU,2019,131.8
IE,2019,114.0
IS,2019,114.3
IT,2019,119.4
LT,2019,132.0
LU,2019,133.0
LV,2019,127.9
MT,2019,105.3
NL,2019,98.4
NO,2019,59.9
PL,2019,132.0
PT,2019,109.4
RO,2019,124.3
SE,2019,119.7
SI,2019,123.7
SK,2019,133.4
UK,2019,127.7
