Year,Country,Unit,MotorwayLengthKm
2011,ES,KM_TKM2,645.0
2011,FI,KM,790.0
2011,FI,KM_TKM2,43.0
2011,FR,KM,11413.0
2011,FR,KM_TKM2,492.0
2011,HR,KM,1253.0
2011,HR,KM_TKM2,45.0
2011,HU,KM,1218.0
2011,HU,KM_TKM2,90.0
2011,IT,KM,6668.0
2011,IT,KM_TKM2,487.0
2011,LU,KM,152.0
2011,LU,KM_TKM2,59.0
2011,LV,KM,0.0
2011,LV,KM_TKM2,0.0
2011,NL,KM,2650.0
2011,NL,KM_TKM2,939.0
2011,NO,KM,393.0
2011,NO,KM_TKM2,34.0
2011,PL,KM,1070.0
2011,PL,KM_TKM2,59.0
2011,PT,KM,0.0
2011,PT,KM_TKM2,0.0
2011,RO,KM,350.0
2011,RO,KM_TKM2,39.0
2011,SE,KM,1958.0
2011,SE,KM_TKM2,107.0
2011,SK,KM,430.0
2011,SK,KM_TKM2,77.0
2011,TR,KM,2119.0
2011,TR,KM_TKM2,127.0
2011,UK,KM,115.0
2011,UK,KM_TKM2,9.0
2012,AT,KM,1719.0
2012,AT,KM_TKM2,281.0
2012,BE,KM,1765.0
2012,BE,KM_TKM2,666.0
2012,BG,KM,541.0
2012,BG,KM_TKM2,28.0
2012,CH,KM,1419.0
2012,CH,KM_TKM2,325.0
2012,CY,KM,257.0
2012,CY,KM_TKM2,28.0
2012,CZ,KM,753.0
2012,CZ,KM_TKM2,90.0
2012,DE,KM,3266.0
2012,DE,KM_TKM2,601.0
2012,DK,KM,1194.0
2012,DK,KM_TKM2,170.0
2012,EE,KM,124.0
2012,EE,KM_TKM2,3.0
2012,ES,KM,14703.0
2012,ES,KM_TKM2,651.0
2012,FI,KM,779.0
2012,FI,KM_TKM2,43.0
2012,FR,KM,11413.0
2012,FR,KM_TKM2,492.0
2012,HR,KM,1253.0
2012,HR,KM_TKM2,45.0
2012,HU,KM,1218.0
2012,HU,KM_TKM2,90.0
2012,IT,KM,6726.0
2012,IT,KM_TKM2,490.0
2012,LU,KM,152.0
2012,LU,KM_TKM2,59.0
2012,LV,KM,0.0
2012,LV,KM_TKM2,0.0
2012,NL,KM,2660.0
2012,NL,KM_TKM2,946.0
2012,NO,KM,393.0
2012,NO,KM_TKM2,36.0
2012,PL,KM,1299.0
2012,PL,KM_TKM2,67.0
2012,PT,KM,0.0
2012,PT,KM_TKM2,0.0
2012,RO,KM,550.0
2012,RO,KM_TKM2,59.0
2012,SE,KM,2004.0
2012,SE,KM_TKM2,110.0
2012,SI,KM,769.0
2012,SI,KM_TKM2,80.0
2012,SK,KM,432.0
2012,SK,KM_TKM2,77.0
2012,TR,KM,2127.0
2012,TR,KM_TKM2,128.0
2012,UK,KM,116.0
2012,UK,KM_TKM2,9.0
2013,AT,KM,1719.0
2013,AT,KM_TKM2,281.0
2013,BE,KM,1765.0
2013,BE,KM_TKM2,666.0
2013,BG,KM,605.0
2013,BG,KM_TKM2,30.0
2013,CH,KM,1419.0
2013,CH,KM_TKM2,325.0
2013,CY,KM,257.0
2013,CY,KM_TKM2,28.0
2013,CZ,KM,776.0
2013,CZ,KM_TKM2,93.0
2013,DE,KM,3279.0
2013,DE,KM_TKM2,602.0
2013,DK,KM,1214.0
2013,DK,KM_TKM2,172.0
2013,EE,KM,140.0
2013,EE,KM_TKM2,3.0
2013,ES,KM,14981.0
2013,ES,KM_TKM2,663.0
2013,FI,KM,810.0
2013,FI,KM_TKM2,43.0
2013,FR,KM,11552.0
2013,FR,KM_TKM2,495.0
2013,HR,KM,1288.0
2013,HR,KM_TKM2,46.0
2013,HU,KM,1261.0
2013,HU,KM_TKM2,93.0
2013,IT,KM,6751.0
2013,IT,KM_TKM2,480.0
2013,LU,KM,152.0
2013,LU,KM_TKM2,59.0
2013,LV,KM,0.0
2013,LV,KM_TKM2,0.0
2013,NL,KM,2668.0
2013,NL,KM_TKM2,949.0
2013,NO,KM,441.0
2013,NO,KM_TKM2,41.0
2013,PL,KM,1415.0
2013,PL,KM_TKM2,69.0
2013,PT,KM,0.0
2013,PT,KM_TKM2,0.0
2013,RO,KM,644.0
2013,RO,KM_TKM2,61.0
2013,SE,KM,2044.0
2013,SE,KM_TKM2,113.0
2013,SI,KM,771.0
2013,SI,KM_TKM2,79.0
2013,SK,KM,425.0
2013,SK,KM_TKM2,75.0
2013,TR,KM,2244.0
2013,TR,KM_TKM2,150.0
2013,UK,KM,115.0
2013,UK,KM_TKM2,8.0
2014,AT,KM,1719.0
2014,AT,KM_TKM2,281.0
2014,BE,KM,1765.0
2014,BE,KM_TKM2,666.0
2014,BG,KM,610.0
2014,BG,KM_TKM2,32.0
2014,CH,KM,1430.0
2014,CH,KM_TKM2,326.0
2014,CY,KM,257.0
2014,CY,KM_TKM2,28.0
2014,CZ,KM,776.0
2014,CZ,KM_TKM2,92.0
2014,DE,KM,3290.0
2014,DE,KM_TKM2,614.0
2014,DK,KM,1231.0
2014,DK,KM_TKM2,173.0
2014,EE,KM,141.0
2014,EE,KM_TKM2,3.0
2014,ES,KM,15051.0
2014,ES,KM_TKM2,661.0
2014,FI,KM,882.0
2014,FI,KM_TKM2,48.0
2014,FR,KM,11481.0
2014,FR,KM_TKM2,494.0
