Country,Year,ModalSplit_VehicleType,ModalSplit_ModalSplitKm,ModalTransportToGDP_GDP,RailwayLength_RailwayLengthKm,RailwayTransport_RailwayTransportKm,AirTransport_AirTransportKm,MotorwayNetwork_Unit,MotorwayNetwork_MotorwayLengthKm,RailwayNetwork_RailwayLengthKm,RoadTrafficDeaths_TypeOfRoad,RoadTrafficDeaths_Unit,RoadTrafficDeaths_RoadTrafficDeaths,MotorwayLength_TypeOfRoad,MotorwayLength_LengthOfMotorways
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,RD_URB,NR,312.0,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,RD_URB,RT,4.2,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,TOTAL,NR,776.0,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,TOTAL,RT,10.5,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,MWAY,NR,37.0,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,MWAY,RT,0.5,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_RUR,NR,427.0,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_RUR,RT,5.8,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_URB,NR,312.0,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,RD_URB,RT,4.2,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,TOTAL,NR,776.0,MWAY,437.0
BG,2010,TRN,3.6,100.0,4098.0,2090.0,6169323.0,KM_TKM2,22.0,4324.0,TOTAL,RT,10.5,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,MWAY,NR,37.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,MWAY,RT,0.5,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,RD_RUR,NR,427.0,MWAY,437.0
BG,2010,TRN_BUS_TOT_AVD,20.0,100.0,4098.0,2090.0,6169323.0,KM,437.0,4324.0,RD_RUR,RT,5.8,MWAY,437.0
