Unit,Location,Year,Count
NR,SE,2009,1981263
NR,SE,2009,1545587
NR,SE,2009,807871
NR,SE,2009,1367017
NR,SE,2009,1851702
NR,SE,2009,825149
NR,SE,2009,370269
NR,SE,2009,507489
NR,SI,2009,1095836
NR,SI,2009,936526
NR,SK,2009,594966
NR,SK,2009,1845563
NR,SK,2009,1349903
NR,SK,2009,1591969
NR,TR,2009,12697164
NR,TR,2009,1502358
NR,TR,2009,1605067
NR,TR,2009,3795978
NR,TR,2009,2674760
NR,TR,2009,2914110
NR,TR,2009,3442871
NR,TR,2009,3136555
NR,TR,2009,4548939
NR,TR,2009,2200013
NR,TR,2009,2514175
NR,TR,2009,3629227
NR,TR,2009,2907289
NR,TR,2009,1492804
NR,TR,2009,2299704
NR,TR,2009,1020767
NR,TR,2009,737308
NR,TR,2009,2719954
NR,TR,2009,2507387
NR,TR,2009,1061287
NR,TR,2009,1140575
NR,TR,2009,1623891
NR,TR,2009,1994165
NR,TR,2009,2318281
NR,TR,2009,3067052
NR,TR,2009,1965419
NR,UK,2009,1165178
NR,UK,2009,1407170
NR,UK,2009,500823
NR,UK,2009,2630100
NR,UK,2009,1452056
NR,UK,2009,895916
NR,UK,2009,1493563
NR,UK,2009,912723
NR,UK,2009,787264
NR,UK,2009,1319708
NR,UK,2009,2191368
NR,UK,2009,2076533
NR,UK,2009,1676611
NR,UK,2009,703231
NR,UK,2009,1284388
NR,UK,2009,1551138
NR,UK,2009,2676535
NR,UK,2009,2341273
NR,UK,2009,1688942
NR,UK,2009,1699785
NR,UK,2009,1074595
NR,UK,2009,2032253
NR,UK,2009,1689986
NR,UK,2009,1197733
NR,UK,2009,1883357
NR,UK,2009,2221257
NR,UK,2009,2686149
NR,UK,2009,1862903
NR,UK,2009,1688611
NR,UK,2009,2307856
NR,UK,2009,1255012
NR,UK,2009,527976
NR,UK,2009,1125102
NR,UK,2009,1919910
NR,UK,2009,1112230
NR,UK,2009,463461
NR,UK,2009,460799
NR,UK,2009,
NR,UK,2009,
NR,UK,2009,
NR,UK,2009,1786187
NR,AL,2010,
NR,AL,2010,
NR,AL,2010,
NR,AL,2010,
NR,AT,2010,283697
NR,AT,2010,1605897
NR,AT,2010,1689995
NR,AT,2010,557998
NR,AT,2010,1205045
NR,AT,2010,1409253
NR,AT,2010,526730
NR,AT,2010,704662
NR,AT,2010,368366
NR,BE,2010,1089538
NR,BE,2010,1744862
NR,BE,2010,838505
NR,BE,2010,1432326
NR,BE,2010,1076924
NR,BE,2010,1159366
NR,BE,2010,379515
NR,BE,2010,1309880
NR,BE,2010,1067685
NR,BE,2010,269023
NR,BE,2010,472281
NR,BG,2010,865332
NR,BG,2010,873801
NR,BG,2010,971932
NR,BG,2010,1087181
NR,BG,2010,2132634
