Unit,Age,Sex,Location,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status,2020,2020_status
NR,TOTAL,T,CH,1085698,ok,1094202,ok,1103641,b,1113929,ok,1123672,ok,1134781,ok,1144572,ok,1153485,ok,1162684,ok,1169358,ok,1176321,ok,1183813,ok
NR,TOTAL,T,CH,733173,ok,739701,ok,749476,b,757552,ok,765879,ok,774123,ok,782374,ok,790458,ok,799287,ok,806071,ok,813056,ok,818962,ok
NR,TOTAL,T,CH,332736,ok,335720,ok,333753,b,336943,ok,341652,ok,346539,ok,350363,ok,351946,ok,354375,ok,353709,ok,353343,ok,351491,ok
NR,TOTAL,T,CY,796930,ok,819140,b,839751,ok,862011,ok,865878,ok,858000,ok,847008,ok,848319,ok,854802,ok,864236,ok,875899,ok,888005,ok
NR,TOTAL,T,CZ,1214300,ok,1227932,ok,1234037,ok,1241664,ok,1246780,ok,1243201,ok,1259079,ok,1267449,ok,1280508,ok,1294513,ok,1308632,ok,1324277,ok
NR,TOTAL,T,CZ,1230405,ok,1247330,ok,1264986,ok,1279345,ok,1291816,ok,1302336,ok,1315299,ok,1326876,ok,1338982,ok,1352795,ok,1369332,ok,1385141,ok
NR,TOTAL,T,CZ,1202477,ok,1205834,ok,1207027,ok,1207847,ok,1209298,ok,1210176,ok,1212423,ok,1214450,ok,1217411,ok,1221012,ok,1226805,ok,1233982,ok
NR,TOTAL,T,CZ,1134887,ok,1133425,ok,1132252,ok,1131191,ok,1128490,ok,1125429,ok,1123265,ok,1120654,ok,1118126,ok,1116766,ok,1115685,ok,1115629,ok
NR,TOTAL,T,CZ,1503865,ok,1506467,ok,1508735,ok,1508867,ok,1507980,ok,1506503,ok,1506813,ok,1507209,ok,1508527,ok,1510726,ok,1513693,ok,1517999,ok
NR,TOTAL,T,CZ,1666778,ok,1671993,ok,1675872,ok,1678250,ok,1679857,ok,1680287,ok,1682748,ok,1684500,ok,1687764,ok,1692123,ok,1696941,ok,1701802,ok
NR,TOTAL,T,CZ,1230437,ok,1229931,ok,1229117,ok,1227668,ok,1225302,ok,1222655,ok,1220972,ok,1219394,ok,1217623,ok,1216234,ok,1215413,ok,1214570,ok
NR,TOTAL,T,CZ,1242634,ok,1239176,ok,1234705,ok,1230613,ok,1226602,ok,1221832,ok,1217676,ok,1213311,ok,1209879,ok,1205886,ok,1203299,ok,1200539,ok
NR,TOTAL,T,DE,4006313,ok,4000848,ok,3910637,b,3924922,ok,3947568,ok,3972881,ok,4008288,ok,4069533,ok,4098278,ok,4126688,ok,4143418,ok,4154223,ok
NR,TOTAL,T,DE,2740164,ok,2740503,ok,2663588,b,2671524,ok,2686573,ok,2702831,ok,2721266,ok,2761977,ok,2779314,ok,2795783,ok,2805129,ok,2810854,ok
NR,TOTAL,T,DE,2195681,ok,2196018,ok,2142723,b,2150906,ok,2162340,ok,2174500,ok,2191622,ok,2224535,ok,2239734,ok,2254674,ok,2264469,ok,2271351,ok
NR,TOTAL,T,DE,1807348,ok,1807552,ok,1761557,b,1765089,ok,1772630,ok,1781066,ok,1795468,ok,1823573,ok,1834567,ok,1846280,ok,1856517,ok,1863966,ok
NR,TOTAL,T,DE,4335137,ok,4346465,ok,4313946,b,4363176,ok,4415649,ok,4469342,ok,4519979,ok,4588944,ok,4633323,ok,4649534,ok,4686163,ok,4710865,ok
NR,TOTAL,T,DE,1191910,ok,1189194,ok,1172475,b,1175923,ok,1181472,ok,1189153,ok,1197558,ok,1212119,ok,1219397,ok,1230037,ok,1238528,ok,1244169,ok
NR,TOTAL,T,DE,1083780,ok,1081417,ok,1071424,b,1072091,ok,1074738,ok,1077991,ok,1082761,ok,1092339,ok,1098378,ok,1104407,ok,1109269,ok,1112102,ok
NR,TOTAL,T,DE,1082516,ok,1076400,ok,1065322,b,1061573,ok,1058711,ok,1056365,ok,1055955,ok,1059358,ok,1062394,ok,1066840,ok,1067482,ok,1065371,ok
NR,TOTAL,T,DE,1712405,ok,1710145,ok,1679849,b,1688414,ok,1698515,ok,1707376,ok,1715195,ok,1738686,ok,1750059,ok,1759643,ok,1770401,ok,1775169,ok
NR,TOTAL,T,DE,1327497,ok,1321957,ok,1302144,b,1299076,ok,1297727,ok,1297992,ok,1298849,ok,1306048,ok,1309209,ok,1313375,ok,1317124,ok,1317619,ok
NR,TOTAL,T,DE,1786483,ok,1784753,ok,1778244,b,1783119,ok,1792759,ok,1806025,ok,1821271,ok,1846020,ok,1857991,ok,1873368,ok,1887754,ok,1899442,ok
NR,TOTAL,T,DE,3431675,ok,3442675,ok,3278346,b,3326002,ok,3375222,ok,3421829,ok,3469849,ok,3520031,ok,3574830,ok,3613495,ok,3644826,ok,3669491,ok
NR,TOTAL,T,DE,2522493,ok,2511525,ok,2461242,b,2453180,ok,2449511,ok,2449193,ok,2457872,ok,2484826,ok,2494648,ok,2504040,ok,2511917,ok,2521893,ok
NR,TOTAL,T,DE,661866,ok,661716,ok,651467,b,652182,ok,654774,ok,657391,ok,661888,ok,671489,ok,678753,ok,681032,ok,682986,ok,681202,ok
NR,TOTAL,T,DE,1772100,ok,1774224,ok,1705700,b,1718187,ok,1734272,ok,1746342,ok,1762791,ok,1787408,ok,1810438,ok,1830584,ok,1841179,ok,1847253,ok
NR,TOTAL,T,DE,3784767,ok,3792941,ok,3734199,b,3763611,ok,3791381,ok,3822479,ok,3863818,ok,3922369,ok,3951234,ok,3978050,ok,3998724,ok,4019961,ok
