Unit,Location,Year,Kilometers_in_millions)
KM,SK,2017,3626
KM,TR,2017,10207
KM,BG,2018,4030
KM,CZ,2018,9572
KM,DE,2018,38416
KM,EE,2018,1161
KM,EL,2018,2293
KM,ES,2018,15449
KM,FI,2018,5926
KM,FR,2018,27594
KM,HR,2018,2604
KM,HU,2018,7732
KM,IE,2018,2045
KM,LT,2018,1911
KM,LU,2018,271
KM,LV,2018,1859.6
KM,MK,2018,683
KM,NO,2018,3887
KM,PL,2018,19235
KM,PT,2018,2545.96
KM,RO,2018,10765
KM,SE,2018,10906
KM,SI,2018,1209
KM,SK,2018,3627
KM,TR,2018,10315
KM,BG,2019,4030
KM,CZ,2019,9562
KM,DE,2019,38394
KM,EE,2019,1167
KM,EL,2019,2280
KM,ES,2019,15526
KM,FI,2019,5923
KM,FR,2019,27483
KM,HR,2019,2617
KM,HU,2019,7743
KM,IE,2019,2045
KM,LT,2019,1911
KM,LU,2019,271
KM,LV,2019,1859.6
KM,MK,2019,683
KM,NO,2019,3890
KM,PL,2019,19398
KM,PT,2019,2526.15
KM,RO,2019,10759
KM,SE,2019,10899
KM,SI,2019,1209
KM,SK,2019,3629
KM,TR,2019,10378
