Percentage,VehicleType,Country,2019,2019_status,2018,2018_status,2017,2017_status,2016,2016_status,2015,2015_status,2014,2014_status,2013,2013_status,2012,2012_status,2011,2011_status,2010,2010_status,2009,2009_status,2008,2008_status,2007,2007_status,2006,2006_status,2005,2005_status,2004,2004_status,2003,2003_status,2002,2002_status,2001,2001_status,2000,2000_status,1999,1999_status,1998,1998_status,1997,1997_status,1996,1996_status,1995,1995_status,1994,1994_status,1993,1993_status,1992,1992_status,1991,1991_status,1990,1990_status
PC,TRN,CY,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z
PC,TRN,IS,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z
PC,TRN,MT,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z,,z
