Country,Year,GDP
CZ,2004,123.7
DE,2004,104.8
DK,2004,101.7
EE,2004,93.1
EL,2004,83.7
ES,2004,105.9
EU27_2020,2004,103.6
EU28,2004,104.0
FI,2004,101.5
FR,2004,95.5
HR,2004,98.0
HU,2004,105.1
IE,2004,96.5
IS,2004,97.4
IT,2004,104.4
LT,2004,95.3
LU,2004,106.5
LV,2004,107.1
MK,2004,113.7
MT,2004,109.2
NL,2004,113.8
NO,2004,98.9
PL,2004,132.4
PT,2004,107.9
RO,2004,94.6
SE,2004,108.9
SI,2004,100.0
SK,2004,146.9
TR,2004,101.5
UK,2004,107.3
AT,2005,102.2
BE,2005,101.0
BG,2005,99.0
CH,2005,103.0
CY,2005,96.0
CZ,2005,118.0
DE,2005,102.7
DK,2005,98.0
EE,2005,104.0
EL,2005,87.5
ES,2005,104.2
EU27_2020,2005,100.8
EU28,2005,101.1
FI,2005,100.2
FR,2005,93.1
HR,2005,95.9
HU,2005,99.8
IE,2005,94.8
IS,2005,97.2
IT,2005,95.5
LT,2005,115.7
LU,2005,106.8
LV,2005,102.1
MK,2005,110.0
MT,2005,107.3
NL,2005,110.0
NO,2005,96.2
PL,2005,134.7
PT,2005,104.4
RO,2005,96.0
SE,2005,106.3
SI,2005,97.6
SK,2005,137.3
TR,2005,96.1
UK,2005,103.8
AT,2006,99.6
BE,2006,99.2
BG,2006,97.0
CH,2006,100.3
CY,2006,95.0
CZ,2006,112.5
DE,2006,99.8
DK,2006,94.1
EE,2006,92.2
EL,2006,86.6
ES,2006,100.0
EU27_2020,2006,98.6
EU28,2006,99.0
FI,2006,97.1
FR,2006,90.9
HR,2006,95.2
HU,2006,99.4
IE,2006,93.3
IS,2006,97.0
IT,2006,94.0
LT,2006,120.1
LU,2006,105.0
LV,2006,101.3
MK,2006,105.4
MT,2006,107.2
NL,2006,105.9
NO,2006,95.4
PL,2006,137.4
PT,2006,103.6
RO,2006,92.3
SE,2006,101.8
SI,2006,94.3
SK,2006,126.6
TR,2006,94.2
UK,2006,101.9
AT,2007,97.8
BE,2007,97.9
BG,2007,96.2
CH,2007,98.1
CY,2007,95.0
CZ,2007,108.9
DE,2007,97.2
DK,2007,94.7
EE,2007,87.0
EL,2007,87.8
ES,2007,99.3
EU27_2020,2007,95.6
EU28,2007,96.2
FI,2007,94.2
FR,2007,89.7
HR,2007,95.3
HU,2007,99.2
IE,2007,92.4
IS,2007,93.9
IT,2007,92.6
LT,2007,107.5
LU,2007,98.9
LV,2007,101.0
MK,2007,88.4
MT,2007,104.5
NL,2007,102.7
NO,2007,95.4
PL,2007,102.9
PT,2007,102.0
RO,2007,89.4
SE,2007,100.9
SI,2007,93.0
SK,2007,110.7
TR,2007,92.9
UK,2007,100.1
