Country,Year,AirTransportKm
IS,2016,6801814.0
IT,2016,134477780.0
LT,2016,4787561.0
LU,2016,2984242.0
LV,2016,5384160.0
ME,2016,1845464.0
MK,2016,1649374.0
MT,2016,5080446.0
NL,2016,70317990.0
NO,2016,37727544.0
PL,2016,32266860.0
PT,2016,40930044.0
RO,2016,15153719.0
RS,2016,4414858.0
SE,2016,35952560.0
SI,2016,1404152.0
SK,2016,2158261.0
UK,2016,248868880.0
AT,2017,28327280.0
BE,2017,33260492.0
BG,2017,11092651.0
CH,2017,53564944.0
CY,2017,10238913.0
CZ,2017,16245554.0
DE,2017,212389340.0
DK,2017,33261214.0
EE,2017,2635145.0
EL,2017,50170730.0
ES,2017,209824100.0
EU27_2007,2017,1040803460.0
EU27_2020,2017,938854460.0
EU28,2017,1043072300.0
FI,2017,20054948.0
FR,2017,154096480.0
HR,2017,8843053.0
HU,2017,13350029.0
IE,2017,34271772.0
IS,2017,8318734.0
IT,2017,144306320.0
LT,2017,5246101.0
LU,2017,3554730.0
LV,2017,6077854.0
ME,2017,2173494.0
MK,2017,1861282.0
MT,2017,6007731.0
NL,2017,76240300.0
NO,2017,38739776.0
PL,2017,37684668.0
PT,2017,47673056.0
RO,2017,17934774.0
RS,2017,4828171.0
SE,2017,38456212.0
SI,2017,1682133.0
SK,2017,2402651.0
UK,2017,264629460.0
AT,2018,31138416.0
BE,2018,34506308.0
BG,2018,12137714.0
CH,2018,56139548.0
CY,2018,10927101.0
CZ,2018,17838220.0
DE,2018,222422370.0
DK,2018,34701140.0
EE,2018,2995528.0
EL,2018,54258824.0
ES,2018,220611420.0
EU27_2007,2018,1103387000.0
EU27_2020,2018,996295400.0
EU28,2018,1105945900.0
FI,2018,22173530.0
FR,2018,161991180.0
HR,2018,9731294.0
HU,2018,15176493.0
IE,2018,36345004.0
IS,2018,10166386.0
IT,2018,153352450.0
LT,2018,6254178.0
LU,2018,3988804.0
LV,2018,7037070.0
ME,2018,2440486.0
MK,2018,2152746.0
MT,2018,6805817.0
NL,2018,79644160.0
NO,2018,40030104.0
PL,2018,43767548.0
PT,2018,51018600.0
RO,2018,19809642.0
RS,2018,5521250.0
