Country,Year,RailwayLengthKm
FR,2018,27594.0
HR,2018,2604.0
HU,2018,7732.0
IE,2018,2045.0
IT,2018,16781.0
LT,2018,1911.0
LU,2018,271.0
LV,2018,1859.6
MK,2018,683.0
NL,2018,3220.0
NO,2018,3887.0
PL,2018,19235.0
PT,2018,2545.96
RO,2018,10765.0
SE,2018,10906.0
SI,2018,1209.0
SK,2018,3627.0
TR,2018,10315.0
UK,2018,16289.0
XK,2018,343.0
AT,2019,5615.0
BG,2019,4030.0
CZ,2019,9562.0
DE,2019,38394.0
DK,2019,2042.0
EE,2019,1167.0
EL,2019,2280.0
ES,2019,15526.0
FI,2019,5923.0
FR,2019,27483.0
HR,2019,2617.0
HU,2019,7743.0
IE,2019,2045.0
IT,2019,16779.0
LT,2019,1911.0
LU,2019,271.0
LV,2019,1859.6
MK,2019,683.0
NO,2019,3890.0
PL,2019,19398.0
PT,2019,2526.15
RO,2019,10759.0
SE,2019,10899.0
SI,2019,1209.0
SK,2019,3629.0
TR,2019,10378.0
XK,2019,343.0
