TypeOfRoad,Unit,Country,Year,RoadTrafficDeaths
RD_RUR,RT,PT,2003,7.2
RD_RUR,RT,RO,2003,3.3
RD_RUR,RT,SE,2003,4.1
RD_RUR,RT,SI,2003,6.8
RD_RUR,RT,SK,2003,6.1
RD_RUR,RT,UK,2003,3.4
RD_URB,NR,AT,2003,223.0
RD_URB,NR,BE,2003,350.0
RD_URB,NR,CH,2003,171.0
RD_URB,NR,CZ,2003,556.0
RD_URB,NR,DE,2003,1646.0
RD_URB,NR,DK,2003,114.0
RD_URB,NR,EL,2003,716.0
RD_URB,NR,ES,2003,912.0
RD_URB,NR,FI,2003,101.0
RD_URB,NR,FR,2003,1661.0
RD_URB,NR,HU,2003,478.0
RD_URB,NR,IE,2003,89.0
RD_URB,NR,IS,2003,6.0
RD_URB,NR,IT,2003,2746.0
RD_URB,NR,LU,2003,16.0
RD_URB,NR,NL,2003,346.0
RD_URB,NR,PL,2003,2653.0
RD_URB,NR,PT,2003,649.0
RD_URB,NR,RO,2003,1506.0
RD_URB,NR,SE,2003,134.0
RD_URB,NR,SI,2003,72.0
RD_URB,NR,SK,2003,311.0
RD_URB,NR,UK,2003,1439.0
RD_URB,RT,AT,2003,2.7
RD_URB,RT,BE,2003,3.4
RD_URB,RT,CH,2003,2.3
RD_URB,RT,CZ,2003,5.5
RD_URB,RT,DE,2003,2.0
RD_URB,RT,DK,2003,2.1
RD_URB,RT,EL,2003,6.6
RD_URB,RT,ES,2003,2.2
RD_URB,RT,FI,2003,1.9
RD_URB,RT,FR,2003,2.7
RD_URB,RT,HU,2003,4.7
RD_URB,RT,IE,2003,2.2
RD_URB,RT,IS,2003,2.1
RD_URB,RT,IT,2003,4.8
RD_URB,RT,LU,2003,3.5
RD_URB,RT,NL,2003,2.1
RD_URB,RT,PL,2003,6.9
RD_URB,RT,PT,2003,6.2
RD_URB,RT,RO,2003,7.0
RD_URB,RT,SE,2003,1.5
RD_URB,RT,SI,2003,3.6
RD_URB,RT,SK,2003,5.8
RD_URB,RT,UK,2003,2.4
TOTAL,NR,AT,2003,931.0
TOTAL,NR,BE,2003,1213.0
TOTAL,NR,BG,2003,960.0
TOTAL,NR,CH,2003,546.0
TOTAL,NR,CY,2003,97.0
TOTAL,NR,CZ,2003,1447.0
TOTAL,NR,DE,2003,6613.0
TOTAL,NR,DK,2003,432.0
TOTAL,NR,EE,2003,164.0
TOTAL,NR,EL,2003,1605.0
TOTAL,NR,ES,2003,5373.0
TOTAL,NR,EU27_2020,2003,47331.0
TOTAL,NR,EU28,2003,50989.0
TOTAL,NR,FI,2003,379.0
TOTAL,NR,FR,2003,6034.0
TOTAL,NR,HR,2003,701.0
TOTAL,NR,HU,2003,1326.0
TOTAL,NR,IE,2003,337.0
TOTAL,NR,IS,2003,23.0
TOTAL,NR,IT,2003,6563.0
TOTAL,NR,LI,2003,5.0
TOTAL,NR,LT,2003,709.0
TOTAL,NR,LU,2003,53.0
TOTAL,NR,LV,2003,532.0
TOTAL,NR,MT,2003,16.0
TOTAL,NR,NL,2003,1028.0
TOTAL,NR,NO,2003,280.0
TOTAL,NR,PL,2003,5642.0
TOTAL,NR,PT,2003,1523.0
TOTAL,NR,RO,2003,2229.0
TOTAL,NR,SE,2003,529.0
TOTAL,NR,SI,2003,242.0
TOTAL,NR,SK,2003,653.0
TOTAL,NR,UK,2003,3658.0
TOTAL,RT,AT,2003,11.5
TOTAL,RT,BE,2003,11.7
TOTAL,RT,BG,2003,12.3
TOTAL,RT,CH,2003,7.4
TOTAL,RT,CY,2003,13.5
TOTAL,RT,CZ,2003,14.2
TOTAL,RT,DE,2003,8.0
TOTAL,RT,DK,2003,8.0
TOTAL,RT,EE,2003,12.0
TOTAL,RT,EL,2003,14.7
TOTAL,RT,ES,2003,12.7
TOTAL,RT,EU27_2020,2003,11.0
TOTAL,RT,EU28,2003,10.4
TOTAL,RT,FI,2003,7.3
TOTAL,RT,FR,2003,9.7
TOTAL,RT,HR,2003,16.3
TOTAL,RT,HU,2003,13.1
TOTAL,RT,IE,2003,8.4
TOTAL,RT,IS,2003,7.9
TOTAL,RT,IT,2003,11.5
TOTAL,RT,LI,2003,14.7
TOTAL,RT,LT,2003,20.8
TOTAL,RT,LU,2003,11.7
TOTAL,RT,LV,2003,23.3
TOTAL,RT,MT,2003,4.0
TOTAL,RT,NL,2003,6.3
TOTAL,RT,NO,2003,6.1
TOTAL,RT,PL,2003,14.8
TOTAL,RT,PT,2003,14.6
TOTAL,RT,RO,2003,10.3
TOTAL,RT,SE,2003,5.9
TOTAL,RT,SI,2003,12.1
TOTAL,RT,SK,2003,12.2
TOTAL,RT,UK,2003,6.1
UNK,NR,BE,2003,0.0
UNK,NR,BG,2003,960.0
UNK,NR,CY,2003,97.0
UNK,NR,EE,2003,164.0
UNK,NR,HR,2003,701.0
UNK,NR,LI,2003,5.0
UNK,NR,LT,2003,709.0
UNK,NR,LV,2003,532.0
UNK,NR,MT,2003,16.0
UNK,NR,NO,2003,280.0
UNK,NR,SE,2003,1.0
UNK,RT,BE,2003,0.0
UNK,RT,BG,2003,12.3
UNK,RT,CY,2003,13.5
UNK,RT,EE,2003,12.0
UNK,RT,HR,2003,16.3
UNK,RT,LI,2003,14.7
UNK,RT,LT,2003,20.8
UNK,RT,LV,2003,23.3
UNK,RT,MT,2003,4.0
UNK,RT,NO,2003,6.1
UNK,RT,SE,2003,0.0
MWAY,NR,AT,2004,118.0
MWAY,NR,BE,2004,125.0
MWAY,NR,CH,2004,51.0
MWAY,NR,CZ,2004,58.0
MWAY,NR,DE,2004,694.0
MWAY,NR,DK,2004,27.0
MWAY,NR,EL,2004,116.0
MWAY,NR,ES,2004,915.0
MWAY,NR,FI,2004,17.0
MWAY,NR,FR,2004,307.0
MWAY,NR,HU,2004,60.0
MWAY,NR,IE,2004,6.0
MWAY,NR,IT,2004,648.0
MWAY,NR,LU,2004,7.0
MWAY,NR,PL,2004,35.0
MWAY,NR,PT,2004,112.0
MWAY,NR,RO,2004,16.0
MWAY,NR,SE,2004,36.0
MWAY,NR,SI,2004,37.0
MWAY,NR,SK,2004,20.0
MWAY,NR,UK,2004,164.0
MWAY,RT,AT,2004,1.4
MWAY,RT,BE,2004,1.2
MWAY,RT,CH,2004,0.7
MWAY,RT,CZ,2004,0.6
MWAY,RT,DE,2004,0.8
MWAY,RT,DK,2004,0.5
MWAY,RT,EL,2004,1.1
MWAY,RT,ES,2004,2.1
MWAY,RT,FI,2004,0.3
MWAY,RT,FR,2004,0.5
MWAY,RT,HU,2004,0.6
MWAY,RT,IE,2004,0.1
MWAY,RT,IT,2004,1.1
MWAY,RT,LU,2004,1.5
MWAY,RT,PL,2004,0.1
MWAY,RT,PT,2004,1.1
MWAY,RT,RO,2004,0.1
MWAY,RT,SE,2004,0.4
MWAY,RT,SI,2004,1.9
MWAY,RT,SK,2004,0.4
MWAY,RT,UK,2004,0.3
RD_RUR,NR,AT,2004,528.0
RD_RUR,NR,BE,2004,742.0
RD_RUR,NR,CH,2004,268.0
RD_RUR,NR,CZ,2004,799.0
RD_RUR,NR,DE,2004,3664.0
RD_RUR,NR,DK,2004,222.0
RD_RUR,NR,EL,2004,788.0
RD_RUR,NR,ES,2004,2906.0
RD_RUR,NR,FI,2004,276.0
RD_RUR,NR,FR,2004,3673.0
RD_RUR,NR,HU,2004,760.0
RD_RUR,NR,IE,2004,263.0
RD_RUR,NR,IS,2004,15.0
RD_RUR,NR,IT,2004,2878.0
RD_RUR,NR,LU,2004,26.0
RD_RUR,NR,LV,2004,374.0
RD_RUR,NR,NL,2004,541.0
RD_RUR,NR,PL,2004,2922.0
RD_RUR,NR,PT,2004,619.0
RD_RUR,NR,RO,2004,729.0
RD_RUR,NR,SE,2004,319.0
RD_RUR,NR,SI,2004,154.0
RD_RUR,NR,SK,2004,316.0
RD_RUR,NR,UK,2004,1855.0
RD_RUR,RT,AT,2004,6.5
RD_RUR,RT,BE,2004,7.1
RD_RUR,RT,CH,2004,3.6
RD_RUR,RT,CZ,2004,7.8
RD_RUR,RT,DE,2004,4.4
RD_RUR,RT,DK,2004,4.1
RD_RUR,RT,EL,2004,7.2
RD_RUR,RT,ES,2004,6.8
RD_RUR,RT,FI,2004,5.3
RD_RUR,RT,FR,2004,5.9
RD_RUR,RT,HU,2004,7.5
RD_RUR,RT,IE,2004,6.5
RD_RUR,RT,IS,2004,5.1
RD_RUR,RT,IT,2004,5.0
RD_RUR,RT,LU,2004,5.7
RD_RUR,RT,LV,2004,16.5
RD_RUR,RT,NL,2004,3.3
RD_RUR,RT,PL,2004,7.7
RD_RUR,RT,PT,2004,5.9
RD_RUR,RT,RO,2004,3.4
RD_RUR,RT,SE,2004,3.5
RD_RUR,RT,SI,2004,7.7
RD_RUR,RT,SK,2004,5.9
RD_RUR,RT,UK,2004,3.1
RD_URB,NR,AT,2004,232.0
RD_URB,NR,BE,2004,295.0
RD_URB,NR,CH,2004,191.0
RD_URB,NR,CZ,2004,525.0
RD_URB,NR,DE,2004,1484.0
RD_URB,NR,DK,2004,120.0
RD_URB,NR,EL,2004,766.0
RD_URB,NR,ES,2004,894.0
RD_URB,NR,FI,2004,82.0
RD_URB,NR,FR,2004,1526.0
RD_URB,NR,HU,2004,476.0
RD_URB,NR,IE,2004,108.0
RD_URB,NR,IS,2004,8.0
RD_URB,NR,IT,2004,2596.0
RD_URB,NR,LU,2004,17.0
RD_URB,NR,LV,2004,142.0
RD_URB,NR,NL,2004,252.0
RD_URB,NR,PL,2004,2755.0
RD_URB,NR,PT,2004,552.0
RD_URB,NR,RO,2004,1697.0
RD_URB,NR,SE,2004,125.0
RD_URB,NR,SI,2004,83.0
RD_URB,NR,SK,2004,272.0
RD_URB,NR,UK,2004,1349.0
RD_URB,RT,AT,2004,2.8
RD_URB,RT,BE,2004,2.8
RD_URB,RT,CH,2004,2.6
RD_URB,RT,CZ,2004,5.1
RD_URB,RT,DE,2004,1.8
RD_URB,RT,DK,2004,2.2
RD_URB,RT,EL,2004,7.0
RD_URB,RT,ES,2004,2.1
RD_URB,RT,FI,2004,1.6
RD_URB,RT,FR,2004,2.4
RD_URB,RT,HU,2004,4.7
RD_URB,RT,IE,2004,2.7
RD_URB,RT,IS,2004,2.7
RD_URB,RT,IT,2004,4.5
RD_URB,RT,LU,2004,3.7
RD_URB,RT,LV,2004,6.3
RD_URB,RT,NL,2004,1.5
RD_URB,RT,PL,2004,7.2
RD_URB,RT,PT,2004,5.3
RD_URB,RT,RO,2004,7.9
RD_URB,RT,SE,2004,1.4
RD_URB,RT,SI,2004,4.2
RD_URB,RT,SK,2004,5.1
RD_URB,RT,UK,2004,2.2
TOTAL,NR,AT,2004,878.0
TOTAL,NR,BE,2004,1162.0
TOTAL,NR,BG,2004,943.0
TOTAL,NR,CH,2004,510.0
TOTAL,NR,CY,2004,117.0
TOTAL,NR,CZ,2004,1382.0
TOTAL,NR,DE,2004,5842.0
TOTAL,NR,DK,2004,369.0
TOTAL,NR,EE,2004,170.0
TOTAL,NR,EL,2004,1670.0
TOTAL,NR,ES,2004,4715.0
TOTAL,NR,EU27_2020,2004,44466.0
TOTAL,NR,EU28,2004,47834.0
TOTAL,NR,FI,2004,375.0
TOTAL,NR,FR,2004,5506.0
TOTAL,NR,HR,2004,608.0
TOTAL,NR,HU,2004,1296.0
TOTAL,NR,IE,2004,377.0
TOTAL,NR,IS,2004,23.0
TOTAL,NR,IT,2004,6122.0
TOTAL,NR,LI,2004,1.0
TOTAL,NR,LT,2004,752.0
TOTAL,NR,LU,2004,50.0
TOTAL,NR,LV,2004,516.0
TOTAL,NR,MT,2004,13.0
TOTAL,NR,NL,2004,804.0
TOTAL,NR,NO,2004,257.0
TOTAL,NR,PL,2004,5712.0
TOTAL,NR,PT,2004,1283.0
TOTAL,NR,RO,2004,2442.0
TOTAL,NR,SE,2004,480.0
TOTAL,NR,SI,2004,274.0
TOTAL,NR,SK,2004,608.0
TOTAL,NR,UK,2004,3368.0
TOTAL,RT,AT,2004,10.7
TOTAL,RT,BE,2004,11.2
TOTAL,RT,BG,2004,12.2
TOTAL,RT,CH,2004,6.9
TOTAL,RT,CY,2004,16.1
TOTAL,RT,CZ,2004,13.6
TOTAL,RT,DE,2004,7.1
TOTAL,RT,DK,2004,6.8
TOTAL,RT,EE,2004,12.5
TOTAL,RT,EL,2004,15.2
TOTAL,RT,ES,2004,11.0
TOTAL,RT,EU27_2020,2004,10.3
TOTAL,RT,EU28,2004,9.7
TOTAL,RT,FI,2004,7.2
TOTAL,RT,FR,2004,8.8
TOTAL,RT,HR,2004,14.1
TOTAL,RT,HU,2004,12.8
TOTAL,RT,IE,2004,9.3
TOTAL,RT,IS,2004,7.9
TOTAL,RT,IT,2004,10.6
TOTAL,RT,LI,2004,2.9
TOTAL,RT,LT,2004,22.3
TOTAL,RT,LU,2004,10.9
TOTAL,RT,LV,2004,22.8
TOTAL,RT,MT,2004,3.2
TOTAL,RT,NL,2004,4.9
TOTAL,RT,NO,2004,5.6
TOTAL,RT,PL,2004,15.0
TOTAL,RT,PT,2004,12.2
TOTAL,RT,RO,2004,11.4
TOTAL,RT,SE,2004,5.3
TOTAL,RT,SI,2004,13.7
TOTAL,RT,SK,2004,11.3
TOTAL,RT,UK,2004,5.6
UNK,NR,BG,2004,943.0
UNK,NR,CY,2004,117.0
UNK,NR,EE,2004,170.0
UNK,NR,HR,2004,608.0
UNK,NR,LI,2004,1.0
UNK,NR,LT,2004,752.0
UNK,NR,MT,2004,13.0
UNK,NR,NL,2004,11.0
UNK,NR,NO,2004,257.0
UNK,NR,SE,2004,0.0
UNK,RT,BG,2004,12.2
UNK,RT,CY,2004,16.1
UNK,RT,EE,2004,12.5
UNK,RT,HR,2004,14.1
UNK,RT,LI,2004,2.9
UNK,RT,LT,2004,22.3
UNK,RT,MT,2004,3.2
UNK,RT,NL,2004,0.1
UNK,RT,NO,2004,5.6
UNK,RT,SE,2004,0.0
MWAY,NR,AT,2005,89.0
MWAY,NR,BE,2005,161.0
MWAY,NR,CH,2005,25.0
MWAY,NR,CY,2005,13.0
MWAY,NR,CZ,2005,45.0
MWAY,NR,DE,2005,662.0
MWAY,NR,DK,2005,31.0
MWAY,NR,EL,2005,111.0
MWAY,NR,ES,2005,841.0
MWAY,NR,FI,2005,10.0
MWAY,NR,FR,2005,323.0
MWAY,NR,HU,2005,47.0
MWAY,NR,IE,2005,2.0
MWAY,NR,IT,2005,577.0
MWAY,NR,LU,2005,4.0
MWAY,NR,PL,2005,32.0
MWAY,NR,PT,2005,93.0
MWAY,NR,RO,2005,20.0
MWAY,NR,SE,2005,20.0
MWAY,NR,SI,2005,20.0
MWAY,NR,SK,2005,21.0
MWAY,NR,UK,2005,203.0
MWAY,RT,AT,2005,1.1
MWAY,RT,BE,2005,1.5
MWAY,RT,CH,2005,0.3
MWAY,RT,CY,2005,1.8
MWAY,RT,CZ,2005,0.4
MWAY,RT,DE,2005,0.8
MWAY,RT,DK,2005,0.6
MWAY,RT,EL,2005,1.0
MWAY,RT,ES,2005,1.9
MWAY,RT,FI,2005,0.2
MWAY,RT,FR,2005,0.5
MWAY,RT,HU,2005,0.5
MWAY,RT,IE,2005,0.0
MWAY,RT,IT,2005,1.0
MWAY,RT,LU,2005,0.9
MWAY,RT,PL,2005,0.1
MWAY,RT,PT,2005,0.9
MWAY,RT,RO,2005,0.1
MWAY,RT,SE,2005,0.2
MWAY,RT,SI,2005,1.0
MWAY,RT,SK,2005,0.4
MWAY,RT,UK,2005,0.3
RD_RUR,NR,AT,2005,477.0
RD_RUR,NR,BE,2005,673.0
RD_RUR,NR,CH,2005,247.0
RD_RUR,NR,CY,2005,28.0
RD_RUR,NR,CZ,2005,738.0
RD_RUR,NR,DE,2005,3228.0
RD_RUR,NR,DK,2005,205.0
RD_RUR,NR,EE,2005,124.0
RD_RUR,NR,EL,2005,789.0
RD_RUR,NR,ES,2005,2786.0
RD_RUR,NR,FI,2005,268.0
RD_RUR,NR,FR,2005,3331.0
RD_RUR,NR,HU,2005,729.0
RD_RUR,NR,IE,2005,318.0
RD_RUR,NR,IS,2005,16.0
RD_RUR,NR,IT,2005,2653.0
RD_RUR,NR,LU,2005,30.0
RD_RUR,NR,LV,2005,317.0
RD_RUR,NR,NL,2005,485.0
RD_RUR,NR,PL,2005,2917.0
RD_RUR,NR,PT,2005,605.0
RD_RUR,NR,RO,2005,714.0
RD_RUR,NR,SE,2005,310.0
RD_RUR,NR,SI,2005,157.0
RD_RUR,NR,SK,2005,308.0
RD_RUR,NR,UK,2005,1831.0
RD_RUR,RT,AT,2005,5.8
RD_RUR,RT,BE,2005,6.4
RD_RUR,RT,CH,2005,3.3
RD_RUR,RT,CY,2005,3.8
RD_RUR,RT,CZ,2005,7.2
RD_RUR,RT,DE,2005,3.9
RD_RUR,RT,DK,2005,3.8
RD_RUR,RT,EE,2005,9.2
RD_RUR,RT,EL,2005,7.2
RD_RUR,RT,ES,2005,6.4
RD_RUR,RT,FI,2005,5.1
RD_RUR,RT,FR,2005,5.3
RD_RUR,RT,HU,2005,7.2
RD_RUR,RT,IE,2005,7.6
RD_RUR,RT,IS,2005,5.4
RD_RUR,RT,IT,2005,4.6
RD_RUR,RT,LU,2005,6.4
RD_RUR,RT,LV,2005,14.2
RD_RUR,RT,NL,2005,3.0
RD_RUR,RT,PL,2005,7.6
RD_RUR,RT,PT,2005,5.8
RD_RUR,RT,RO,2005,3.3
RD_RUR,RT,SE,2005,3.4
RD_RUR,RT,SI,2005,7.8
RD_RUR,RT,SK,2005,5.7
RD_RUR,RT,UK,2005,3.0
RD_URB,NR,AT,2005,202.0
RD_URB,NR,BE,2005,255.0
RD_URB,NR,CH,2005,137.0
RD_URB,NR,CY,2005,61.0
RD_URB,NR,CZ,2005,503.0
RD_URB,NR,DE,2005,1471.0
RD_URB,NR,DK,2005,95.0
RD_URB,NR,EE,2005,46.0
RD_URB,NR,EL,2005,758.0
RD_URB,NR,ES,2005,779.0
RD_URB,NR,FI,2005,101.0
RD_URB,NR,FR,2005,1664.0
RD_URB,NR,HU,2005,502.0
RD_URB,NR,IE,2005,80.0
RD_URB,NR,IS,2005,3.0
RD_URB,NR,IT,2005,2588.0
RD_URB,NR,LU,2005,13.0
RD_URB,NR,LV,2005,125.0
RD_URB,NR,MT,2005,17.0
RD_URB,NR,NL,2005,254.0
RD_URB,NR,PL,2005,2495.0
RD_URB,NR,PT,2005,530.0
RD_URB,NR,RO,2005,1895.0
RD_URB,NR,SE,2005,110.0
RD_URB,NR,SI,2005,81.0
RD_URB,NR,SK,2005,277.0
RD_URB,NR,UK,2005,1302.0
RD_URB,RT,AT,2005,2.5
RD_URB,RT,BE,2005,2.4
RD_URB,RT,CH,2005,1.8
RD_URB,RT,CY,2005,8.3
RD_URB,RT,CZ,2005,4.9
RD_URB,RT,DE,2005,1.8
RD_URB,RT,DK,2005,1.8
RD_URB,RT,EE,2005,3.4
RD_URB,RT,EL,2005,6.9
RD_URB,RT,ES,2005,1.8
RD_URB,RT,FI,2005,1.9
RD_URB,RT,FR,2005,2.6
RD_URB,RT,HU,2005,5.0
RD_URB,RT,IE,2005,1.9
RD_URB,RT,IS,2005,1.0
RD_URB,RT,IT,2005,4.5
RD_URB,RT,LU,2005,2.8
RD_URB,RT,LV,2005,5.6
RD_URB,RT,MT,2005,4.2
RD_URB,RT,NL,2005,1.6
RD_URB,RT,PL,2005,6.5
RD_URB,RT,PT,2005,5.0
RD_URB,RT,RO,2005,8.9
RD_URB,RT,SE,2005,1.2
RD_URB,RT,SI,2005,4.0
RD_URB,RT,SK,2005,5.2
RD_URB,RT,UK,2005,2.2
TOTAL,NR,AT,2005,768.0
TOTAL,NR,BE,2005,1089.0
TOTAL,NR,BG,2005,957.0
TOTAL,NR,CH,2005,409.0
TOTAL,NR,CY,2005,102.0
TOTAL,NR,CZ,2005,1286.0
TOTAL,NR,DE,2005,5361.0
TOTAL,NR,DK,2005,331.0
TOTAL,NR,EE,2005,170.0
TOTAL,NR,EL,2005,1658.0
TOTAL,NR,ES,2005,4406.0
TOTAL,NR,EU27_2020,2005,42552.0
TOTAL,NR,EU28,2005,45888.0
TOTAL,NR,FI,2005,379.0
TOTAL,NR,FR,2005,5318.0
TOTAL,NR,HR,2005,597.0
TOTAL,NR,HU,2005,1278.0
TOTAL,NR,IE,2005,400.0
TOTAL,NR,IS,2005,19.0
TOTAL,NR,IT,2005,5818.0
TOTAL,NR,LI,2005,2.0
TOTAL,NR,LT,2005,773.0
TOTAL,NR,LU,2005,47.0
TOTAL,NR,LV,2005,442.0
TOTAL,NR,MT,2005,17.0
TOTAL,NR,NL,2005,750.0
TOTAL,NR,NO,2005,224.0
TOTAL,NR,PL,2005,5444.0
TOTAL,NR,PT,2005,1228.0
TOTAL,NR,RO,2005,2629.0
TOTAL,NR,SE,2005,440.0
TOTAL,NR,SI,2005,258.0
TOTAL,NR,SK,2005,606.0
TOTAL,NR,UK,2005,3336.0
TOTAL,RT,AT,2005,9.3
TOTAL,RT,BE,2005,10.4
TOTAL,RT,BG,2005,12.5
TOTAL,RT,CH,2005,5.5
TOTAL,RT,CY,2005,13.8
TOTAL,RT,CZ,2005,12.6
TOTAL,RT,DE,2005,6.5
TOTAL,RT,DK,2005,6.1
TOTAL,RT,EE,2005,12.5
TOTAL,RT,EL,2005,15.1
TOTAL,RT,ES,2005,10.1
TOTAL,RT,EU27_2020,2005,9.8
TOTAL,RT,EU28,2005,9.3
TOTAL,RT,FI,2005,7.2
TOTAL,RT,FR,2005,8.4
TOTAL,RT,HR,2005,13.8
TOTAL,RT,HU,2005,12.7
TOTAL,RT,IE,2005,9.6
TOTAL,RT,IS,2005,6.4
TOTAL,RT,IT,2005,10.0
TOTAL,RT,LI,2005,5.8
TOTAL,RT,LT,2005,23.3
TOTAL,RT,LU,2005,10.1
TOTAL,RT,LV,2005,19.7
TOTAL,RT,MT,2005,4.2
TOTAL,RT,NL,2005,4.6
TOTAL,RT,NO,2005,4.8
TOTAL,RT,PL,2005,14.3
TOTAL,RT,PT,2005,11.7
TOTAL,RT,RO,2005,12.3
TOTAL,RT,SE,2005,4.9
TOTAL,RT,SI,2005,12.9
TOTAL,RT,SK,2005,11.3
TOTAL,RT,UK,2005,5.5
UNK,NR,BG,2005,957.0
UNK,NR,HR,2005,597.0
UNK,NR,LI,2005,2.0
UNK,NR,LT,2005,773.0
UNK,NR,LU,2005,0.0
UNK,NR,NL,2005,11.0
UNK,NR,NO,2005,224.0
UNK,NR,SE,2005,0.0
UNK,RT,BG,2005,12.5
UNK,RT,HR,2005,13.8
UNK,RT,LI,2005,5.8
UNK,RT,LT,2005,23.3
UNK,RT,LU,2005,0.0
UNK,RT,NL,2005,0.1
UNK,RT,NO,2005,4.8
UNK,RT,SE,2005,0.0
MWAY,NR,AT,2006,74.0
MWAY,NR,BE,2006,164.0
MWAY,NR,CH,2006,31.0
MWAY,NR,CY,2006,9.0
MWAY,NR,CZ,2006,37.0
MWAY,NR,DE,2006,645.0
MWAY,NR,DK,2006,16.0
MWAY,NR,EL,2006,147.0
MWAY,NR,ES,2006,759.0
MWAY,NR,FI,2006,17.0
MWAY,NR,FR,2006,292.0
MWAY,NR,HU,2006,55.0
MWAY,NR,IE,2006,11.0
MWAY,NR,IT,2006,590.0
MWAY,NR,LU,2006,6.0
MWAY,NR,PL,2006,55.0
MWAY,NR,PT,2006,78.0
MWAY,NR,RO,2006,46.0
MWAY,NR,SE,2006,26.0
MWAY,NR,SI,2006,33.0
MWAY,NR,SK,2006,15.0
MWAY,NR,UK,2006,185.0
MWAY,RT,AT,2006,0.9
MWAY,RT,BE,2006,1.6
MWAY,RT,CH,2006,0.4
MWAY,RT,CY,2006,1.2
MWAY,RT,CZ,2006,0.4
MWAY,RT,DE,2006,0.8
MWAY,RT,DK,2006,0.3
MWAY,RT,EL,2006,1.3
MWAY,RT,ES,2006,1.7
MWAY,RT,FI,2006,0.3
MWAY,RT,FR,2006,0.5
MWAY,RT,HU,2006,0.5
MWAY,RT,IE,2006,0.3
MWAY,RT,IT,2006,1.0
MWAY,RT,LU,2006,1.3
MWAY,RT,PL,2006,0.1
MWAY,RT,PT,2006,0.7
MWAY,RT,RO,2006,0.2
MWAY,RT,SE,2006,0.3
MWAY,RT,SI,2006,1.6
MWAY,RT,SK,2006,0.3
MWAY,RT,UK,2006,0.3
RD_RUR,NR,AT,2006,456.0
RD_RUR,NR,BE,2006,640.0
RD_RUR,NR,CH,2006,215.0
RD_RUR,NR,CY,2006,24.0
RD_RUR,NR,CZ,2006,599.0
RD_RUR,NR,DE,2006,3062.0
RD_RUR,NR,DK,2006,189.0
RD_RUR,NR,EE,2006,158.0
RD_RUR,NR,EL,2006,736.0
RD_RUR,NR,ES,2006,2586.0
RD_RUR,NR,FI,2006,226.0
RD_RUR,NR,FR,2006,3071.0
RD_RUR,NR,HU,2006,740.0
RD_RUR,NR,IE,2006,292.0
RD_RUR,NR,IS,2006,21.0
RD_RUR,NR,IT,2006,2585.0
RD_RUR,NR,LU,2006,26.0
RD_RUR,NR,LV,2006,259.0
RD_RUR,NR,NL,2006,447.0
RD_RUR,NR,PL,2006,2839.0
RD_RUR,NR,PT,2006,429.0
RD_RUR,NR,RO,2006,903.0
RD_RUR,NR,SE,2006,312.0
RD_RUR,NR,SI,2006,137.0
RD_RUR,NR,SK,2006,308.0
RD_RUR,NR,UK,2006,1787.0
RD_RUR,RT,AT,2006,5.5
RD_RUR,RT,BE,2006,6.1
RD_RUR,RT,CH,2006,2.9
RD_RUR,RT,CY,2006,3.2
RD_RUR,RT,CZ,2006,5.9
RD_RUR,RT,DE,2006,3.7
RD_RUR,RT,DK,2006,3.5
RD_RUR,RT,EE,2006,11.7
RD_RUR,RT,EL,2006,6.7
RD_RUR,RT,ES,2006,5.8
RD_RUR,RT,FI,2006,4.3
RD_RUR,RT,FR,2006,4.8
RD_RUR,RT,HU,2006,7.3
RD_RUR,RT,IE,2006,6.8
RD_RUR,RT,IS,2006,6.9
RD_RUR,RT,IT,2006,4.4
RD_RUR,RT,LU,2006,5.5
RD_RUR,RT,LV,2006,11.7
RD_RUR,RT,NL,2006,2.7
RD_RUR,RT,PL,2006,7.4
RD_RUR,RT,PT,2006,4.1
RD_RUR,RT,RO,2006,4.3
RD_RUR,RT,SE,2006,3.4
RD_RUR,RT,SI,2006,6.8
RD_RUR,RT,SK,2006,5.7
RD_RUR,RT,UK,2006,2.9
RD_URB,NR,AT,2006,200.0
RD_URB,NR,BE,2006,265.0
RD_URB,NR,CH,2006,124.0
RD_URB,NR,CY,2006,53.0
RD_URB,NR,CZ,2006,427.0
RD_URB,NR,DE,2006,1384.0
RD_URB,NR,DK,2006,101.0
RD_URB,NR,EE,2006,46.0
RD_URB,NR,EL,2006,774.0
RD_URB,NR,ES,2006,724.0
RD_URB,NR,FI,2006,93.0
RD_URB,NR,FR,2006,1346.0
RD_URB,NR,HU,2006,508.0
RD_URB,NR,IE,2006,62.0
RD_URB,NR,IS,2006,10.0
RD_URB,NR,IT,2006,2494.0
RD_URB,NR,LU,2006,8.0
RD_URB,NR,LV,2006,148.0
RD_URB,NR,MT,2006,11.0
RD_URB,NR,NL,2006,283.0
RD_URB,NR,PL,2006,2349.0
RD_URB,NR,PT,2006,442.0
RD_URB,NR,RO,2006,1638.0
RD_URB,NR,SE,2006,106.0
RD_URB,NR,SI,2006,92.0
RD_URB,NR,SK,2006,291.0
RD_URB,NR,UK,2006,1326.0
RD_URB,RT,AT,2006,2.4
RD_URB,RT,BE,2006,2.5
RD_URB,RT,CH,2006,1.7
RD_URB,RT,CY,2006,7.1
RD_URB,RT,CZ,2006,4.2
RD_URB,RT,DE,2006,1.7
RD_URB,RT,DK,2006,1.9
