TypeOfRoad,Unit,Country,Year,RoadTrafficDeaths
TOTAL,RT,HU,2000,11.8
TOTAL,RT,IE,2000,11.0
TOTAL,RT,IS,2000,11.4
TOTAL,RT,IT,2000,12.4
TOTAL,RT,LI,2000,9.2
TOTAL,RT,LT,2000,18.3
TOTAL,RT,LU,2000,17.4
TOTAL,RT,LV,2000,26.8
TOTAL,RT,MT,2000,3.8
TOTAL,RT,NL,2000,6.8
TOTAL,RT,NO,2000,7.6
TOTAL,RT,PL,2000,16.5
TOTAL,RT,PT,2000,17.8
TOTAL,RT,RO,2000,11.0
TOTAL,RT,SE,2000,6.7
TOTAL,RT,SI,2000,15.8
TOTAL,RT,SK,2000,11.7
TOTAL,RT,UK,2000,6.1
UNK,NR,BG,2000,1012.0
UNK,NR,CH,2000,592.0
UNK,NR,CY,2000,111.0
UNK,NR,EE,2000,204.0
UNK,NR,HR,2000,655.0
UNK,NR,HU,2000,1200.0
UNK,NR,IS,2000,32.0
UNK,NR,LI,2000,3.0
UNK,NR,LT,2000,641.0
UNK,NR,LV,2000,635.0
UNK,NR,MT,2000,15.0
UNK,NR,NO,2000,341.0
UNK,NR,SK,2000,628.0
UNK,RT,BG,2000,12.4
UNK,RT,CH,2000,8.2
UNK,RT,CY,2000,16.0
UNK,RT,EE,2000,14.6
UNK,RT,HR,2000,14.7
UNK,RT,HU,2000,11.8
UNK,RT,IS,2000,11.4
UNK,RT,LI,2000,9.2
UNK,RT,LT,2000,18.3
UNK,RT,LV,2000,26.8
UNK,RT,MT,2000,3.8
UNK,RT,NO,2000,7.6
UNK,RT,SK,2000,11.7
MWAY,NR,AT,2001,156.0
MWAY,NR,BE,2001,192.0
MWAY,NR,CH,2001,71.0
MWAY,NR,CZ,2001,43.0
MWAY,NR,DE,2001,770.0
MWAY,NR,DK,2001,38.0
MWAY,NR,EL,2001,86.0
MWAY,NR,ES,2001,1138.0
MWAY,NR,FI,2001,11.0
MWAY,NR,FR,2001,482.0
MWAY,NR,IE,2001,4.0
MWAY,NR,IT,2001,773.0
MWAY,NR,LU,2001,7.0
MWAY,NR,NL,2001,124.0
MWAY,NR,PL,2001,57.0
MWAY,NR,PT,2001,110.0
MWAY,NR,RO,2001,6.0
MWAY,NR,SE,2001,30.0
MWAY,NR,SI,2001,24.0
MWAY,NR,SK,2001,7.0
MWAY,NR,UK,2001,198.0
MWAY,RT,AT,2001,1.9
MWAY,RT,BE,2001,1.9
MWAY,RT,CH,2001,1.0
MWAY,RT,CZ,2001,0.4
MWAY,RT,DE,2001,0.9
MWAY,RT,DK,2001,0.7
MWAY,RT,EL,2001,0.8
MWAY,RT,ES,2001,2.8
MWAY,RT,FI,2001,0.2
MWAY,RT,FR,2001,0.8
MWAY,RT,IE,2001,0.1
MWAY,RT,IT,2001,1.4
MWAY,RT,LU,2001,1.6
MWAY,RT,NL,2001,0.8
MWAY,RT,PL,2001,0.1
MWAY,RT,PT,2001,1.1
MWAY,RT,RO,2001,0.0
MWAY,RT,SE,2001,0.3
MWAY,RT,SI,2001,1.2
MWAY,RT,SK,2001,0.1
MWAY,RT,UK,2001,0.3
RD_RUR,NR,AT,2001,586.0
RD_RUR,NR,BE,2001,841.0
RD_RUR,NR,CH,2001,269.0
RD_RUR,NR,CZ,2001,765.0
RD_RUR,NR,DE,2001,4481.0
RD_RUR,NR,DK,2001,268.0
RD_RUR,NR,EL,2001,964.0
RD_RUR,NR,ES,2001,3380.0
RD_RUR,NR,FI,2001,309.0
RD_RUR,NR,FR,2001,5386.0
RD_RUR,NR,IE,2001,304.0
RD_RUR,NR,IT,2001,2972.0
RD_RUR,NR,LU,2001,46.0
RD_RUR,NR,NL,2001,534.0
RD_RUR,NR,PL,2001,2949.0
RD_RUR,NR,PT,2001,833.0
RD_RUR,NR,RO,2001,603.0
RD_RUR,NR,SE,2001,373.0
RD_RUR,NR,SI,2001,163.0
RD_RUR,NR,SK,2001,317.0
RD_RUR,NR,UK,2001,1952.0
RD_RUR,RT,AT,2001,7.3
RD_RUR,RT,BE,2001,8.2
RD_RUR,RT,CH,2001,3.7
RD_RUR,RT,CZ,2001,7.5
RD_RUR,RT,DE,2001,5.4
RD_RUR,RT,DK,2001,5.0
RD_RUR,RT,EL,2001,8.9
RD_RUR,RT,ES,2001,8.3
RD_RUR,RT,FI,2001,6.0
RD_RUR,RT,FR,2001,8.8
RD_RUR,RT,IE,2001,7.9
RD_RUR,RT,IT,2001,5.2
RD_RUR,RT,LU,2001,10.4
RD_RUR,RT,NL,2001,3.3
RD_RUR,RT,PL,2001,7.7
RD_RUR,RT,PT,2001,8.0
RD_RUR,RT,RO,2001,2.7
RD_RUR,RT,SE,2001,4.2
RD_RUR,RT,SI,2001,8.2
RD_RUR,RT,SK,2001,5.9
RD_RUR,RT,UK,2001,3.3
RD_URB,NR,AT,2001,216.0
RD_URB,NR,BE,2001,453.0
RD_URB,NR,CH,2001,204.0
RD_URB,NR,CZ,2001,525.0
RD_URB,NR,DE,2001,1726.0
RD_URB,NR,DK,2001,125.0
RD_URB,NR,EL,2001,830.0
RD_URB,NR,ES,2001,960.0
RD_URB,NR,FI,2001,113.0
RD_URB,NR,FR,2001,2268.0
RD_URB,NR,IE,2001,104.0
RD_URB,NR,IT,2001,3351.0
RD_URB,NR,LU,2001,17.0
RD_URB,NR,NL,2001,335.0
RD_URB,NR,PL,2001,2528.0
RD_URB,NR,PT,2001,712.0
RD_URB,NR,RO,2001,1841.0
RD_URB,NR,SE,2001,180.0
RD_URB,NR,SI,2001,91.0
RD_URB,NR,SK,2001,301.0
RD_URB,NR,UK,2001,1448.0
RD_URB,RT,AT,2001,2.7
RD_URB,RT,BE,2001,4.4
RD_URB,RT,CH,2001,2.8
RD_URB,RT,CZ,2001,5.1
RD_URB,RT,DE,2001,2.1
RD_URB,RT,DK,2001,2.3
RD_URB,RT,EL,2001,7.6
RD_URB,RT,ES,2001,2.4
RD_URB,RT,FI,2001,2.2
RD_URB,RT,FR,2001,3.7
RD_URB,RT,IE,2001,2.7
RD_URB,RT,IT,2001,5.9
RD_URB,RT,LU,2001,3.9
RD_URB,RT,NL,2001,2.1
RD_URB,RT,PL,2001,6.6
RD_URB,RT,PT,2001,6.9
RD_URB,RT,RO,2001,8.3
RD_URB,RT,SE,2001,2.0
RD_URB,RT,SI,2001,4.6
RD_URB,RT,SK,2001,5.6
RD_URB,RT,UK,2001,2.4
TOTAL,NR,AT,2001,958.0
TOTAL,NR,BE,2001,1486.0
TOTAL,NR,BG,2001,1011.0
TOTAL,NR,CH,2001,544.0
TOTAL,NR,CY,2001,98.0
TOTAL,NR,CZ,2001,1333.0
TOTAL,NR,DE,2001,6977.0
TOTAL,NR,DK,2001,431.0
TOTAL,NR,EE,2001,199.0
TOTAL,NR,EL,2001,1880.0
TOTAL,NR,ES,2001,5478.0
TOTAL,NR,EU27_2020,2001,51282.0
TOTAL,NR,EU28,2001,54880.0
TOTAL,NR,FI,2001,433.0
TOTAL,NR,FR,2001,8136.0
TOTAL,NR,HR,2001,647.0
TOTAL,NR,HU,2001,1239.0
TOTAL,NR,IE,2001,412.0
TOTAL,NR,IS,2001,24.0
TOTAL,NR,IT,2001,7096.0
TOTAL,NR,LI,2001,2.0
