Country,Year,PopulationCount
LT,2013,2971905.0
LT,2014,2943472.0
LT,2015,2921262.0
LT,2016,2888558.0
LT,2017,2847904.0
LT,2018,2808901.0
LT,2019,2794184.0
LT,2020,2794090.0
LU,2009,493500.0
LU,2010,502066.0
LU,2011,511840.0
LU,2012,524853.0
LU,2013,537039.0
LU,2014,549680.0
LU,2015,562958.0
LU,2016,576249.0
LU,2017,590667.0
LU,2018,602005.0
LU,2019,613894.0
LU,2020,626108.0
LV,2009,2162834.0
LV,2010,2120504.0
LV,2011,2074605.0
LV,2012,2044813.0
LV,2013,2023825.0
LV,2014,2001468.0
LV,2015,1986096.0
LV,2016,1968957.0
LV,2017,1950116.0
LV,2018,1934379.0
LV,2019,1919968.0
LV,2020,1907675.0
ME,2009,617157.0
ME,2010,619001.0
ME,2011,619850.0
ME,2012,620308.0
ME,2013,620893.0
ME,2014,621521.0
ME,2015,622099.0
ME,2016,622218.0
ME,2017,622387.0
ME,2018,622359.0
ME,2019,622182.0
ME,2020,621873.0
MK,2009,2048619.0
MK,2010,2052722.0
MK,2011,2057284.0
MK,2012,2059794.0
MK,2013,2062294.0
MK,2014,2065769.0
MK,2015,2069172.0
MK,2016,2071278.0
MK,2017,2073702.0
MK,2018,2075301.0
MK,2019,2077132.0
MK,2020,2076255.0
MT,2009,410926.0
MT,2010,414027.0
MT,2011,414989.0
MT,2012,417546.0
MT,2013,422509.0
MT,2014,429424.0
MT,2015,439691.0
MT,2016,450415.0
MT,2017,460297.0
MT,2018,475701.0
MT,2019,493559.0
MT,2020,514564.0
NL,2009,16485787.0
NL,2010,16574989.0
NL,2011,16655799.0
NL,2012,16730348.0
NL,2013,16779576.0
NL,2014,16829288.0
NL,2015,16900726.0
NL,2016,16979120.0
NL,2017,17081508.0
NL,2018,17181084.0
NL,2019,17282164.0
NL,2020,17407584.0
NO,2009,4799252.0
NO,2010,4858199.0
NO,2011,4920305.0
NO,2012,4985870.0
NO,2013,5051275.0
NO,2014,5107970.0
NO,2015,5166493.0
NO,2016,5210721.0
NO,2017,5258317.0
NO,2018,5295619.0
NO,2019,5328212.0
NO,2020,5367580.0
PL,2009,23656940.0
PL,2010,23578276.0
PL,2011,23610286.0
PL,2012,23617496.0
PL,2013,23618766.0
PL,2014,38017856.0
PL,2015,38005616.0
