Country,Year,RailwayTransportKm
TR,2017,4566.0
UK,2017,68912.0
AT,2018,12681.0
BG,2018,1476.0
CH,2018,19245.0
CZ,2018,10220.0
DE,2018,98161.0
DK,2018,6182.0
EE,2018,417.0
EL,2018,1104.0
ES,2018,28317.0
EU27_2007,2018,470954.0
EU27_2020,2018,401996.0
EU28,2018,471702.0
FI,2018,4535.0
FR,2018,93387.0
HR,2018,747.0
IE,2018,2281.0
IT,2018,55037.0
LT,2018,354.0
LU,2018,443.0
LV,2018,624.0
MK,2018,63.0
NO,2018,3722.0
PL,2018,20849.0
PT,2018,4570.0
RO,2018,5426.0
SE,2018,13547.0
SI,2018,568.0
SK,2018,3792.0
TR,2018,5560.0
UK,2018,69706.0
AT,2019,12761.0
BG,2019,1520.0
CH,2019,20315.0
CZ,2019,10856.0
DE,2019,100252.0
DK,2019,6174.0
EE,2019,392.0
EL,2019,1252.0
ES,2019,28703.0
EU27_2007,2019,486844.0
EU27_2020,2019,415744.0
EU28,2019,487568.0
FI,2019,4924.0
FR,2019,98360.0
HR,2019,724.0
IE,2019,2399.0
IT,2019,56160.0
LT,2019,359.0
LU,2019,463.0
LV,2019,643.0
MK,2019,62.0
NO,2019,3715.0
PL,2019,21834.0
PT,2019,5055.0
RO,2019,5735.0
SE,2019,14617.0
SI,2019,572.0
SK,2019,3957.0
TR,2019,11068.0
UK,2019,71823.0
AT,2020,6964.0
BG,2020,1118.0
CH,2020,12425.0
CZ,2020,6623.0
DE,2020,57470.0
DK,2020,3940.0
EE,2020,263.0
EL,2020,640.0
ES,2020,11987.0
EU27_2020,2020,223210.0
FI,2020,2820.0
FR,2020,56465.0
HR,2020,448.0
IE,2020,835.0
IT,2020,22064.0
LT,2020,237.0
LU,2020,268.0
LV,2020,413.0
MK,2020,25.0
NO,2020,1801.0
PT,2020,2563.0
RO,2020,3609.0
SE,2020,8129.0
SI,2020,338.0
SK,2020,2133.0
TR,2020,6094.0
